Mixture	Astro	CR	Endo	L2/3 IT	L4	L5 IT	L5 PT	L6 CT	L6 IT	L6b	Lamp5	Macrophage	Meis2	NP	Oligo	Peri	Pvalb	Serpinf1	SMC	Sncg	Sst	Vip	VLMC	P-value	Correlation	RMSE
L1-L6_spot_11	1.93547214123869e-05	0.000578303721587451	0	0	4.01795169360688e-05	0.697937360712042	0	2.83122117984816e-05	0.00766890911101913	0.000166811010103242	0	1.11338364615444e-05	0	0.000898177810875587	1.20098602646124e-05	0	0	0.216203553951126	5.09887253420809e-06	0.0236820588195829	0	0.0527211868763325	2.75489679247358e-05	0	0.874575875534739	0.668278939908686
L1-L6_spot_12	1.26586067851167e-05	0.000227207107452871	1.17305450623658e-05	4.33816449509603e-05	0	0.689226432920157	0	0.000501313777388958	0	0	0	4.34764118245187e-06	0	6.58550671257511e-06	5.91652321565416e-06	8.26932986731031e-06	8.0153678852575e-06	0.30340168144868	2.18123866562409e-06	0.00515196209611554	0	0.00138831624587882	0	0	0.849897683998511	0.678861607335722
L1-L6_spot_13	3.8999123414337e-06	1.13919569649402e-05	1.5561716789085e-06	0	9.10208780236874e-05	0.375884839372152	0	6.32616452884171e-05	2.98886490713226e-05	3.79520469672792e-06	4.47666014731492e-06	8.61408742374343e-06	0	0	3.06366798870005e-06	1.02677556793983e-05	0	0.623822325201616	0	1.06466033856262e-05	1.43308057763636e-05	3.66214277656815e-05	0	0	0.909443826198094	0.572475961682521
L1-L6_spot_14	8.97894937246223e-06	2.1132368062984e-05	0	0	8.26587889893669e-05	0.997423221736367	0	0.000983499384556472	0.00128149038105624	3.72873923707675e-06	0	2.66692895740665e-06	0	4.7880393859424e-05	5.32441907413192e-06	5.31155869463494e-06	2.7583321390215e-05	0	2.92965818225343e-06	7.14869880583573e-05	3.21063841415271e-05	0	0	0	0.866641807060943	0.670011424542434
L1-L6_spot_15	0	0	1.84702044841815e-06	0	0	0.000106754907698642	0	0	3.9394030214046e-05	0	0.0319979963919871	7.50971560428388e-06	1.27285793613635e-05	0	0	2.30874197448071e-05	0	0.967728650804181	2.56978059935743e-06	6.37025411516297e-05	1.57588090089177e-05	0	0	0	0.912175661037052	0.468083846838758
L1-L6_spot_16	2.23445616760731e-05	0	9.45666628710345e-06	6.55438521261933e-05	0	0.160625590836414	0	0.00199448896288375	0	9.32033569238298e-06	0.00855237050120725	0	1.05745800279701e-05	4.19811626418984e-05	0	7.85083100392109e-06	1.5194646018804e-05	0.828553015466743	0	0	0	9.22675972771829e-05	0	0	0.917363335270982	0.503192094240347
L1-L6_spot_17	0	4.58478705529179e-05	2.09294063126442e-06	5.50564237585721e-05	1.0702225749369e-05	0.636488410459893	2.19464563868148e-05	7.49534422125657e-05	3.1711840497593e-05	0	0	4.99056098425955e-06	0	8.34321564964445e-05	6.05490071937182e-06	5.70320736104763e-06	8.51862907896822e-06	0.363159313852891	0	0	0	1.26503278713324e-06	0	0	0.834536847523797	0.681892718270355
L1-L6_spot_18	3.0449754793435e-05	3.10263351876268e-05	0	0	0	0.0223457618198544	0	0.000474295240607743	0.00121795779215781	0	0	1.64455749150574e-05	0	0.000497912732071687	1.51844633961089e-05	0	0	0.971299504284155	4.71952877329415e-06	0.00104819491770759	3.04437611820698e-05	0.0029616649891631	2.64388060347491e-05	0	0.903332426614947	0.482603820474744
L1-L6_spot_19	5.48829809002683e-07	0	1.91852718338181e-05	0	0.0102427729576624	0.680585346132418	0.00012761273746117	0	0.0243226796441752	0.00470725296768912	0.0169032841685363	2.02167348376355e-05	0.00585032540470687	0.0501528010833501	1.26651840835291e-05	2.89635293218039e-05	0.000204406095760365	0.206635393780083	6.83253442278955e-06	0	0.000163177091262529	0	1.65358525864354e-05	0	0.822143427827737	0.70664208722327
L1-L6_spot_20	0	3.17827239497772e-05	7.52760536768694e-06	4.43551661653845e-05	0	0.543013032561991	0	0	1.32115847440837e-05	0	0	0	5.02331548407075e-05	0	5.48381521307116e-06	5.8221652945988e-06	0	0.456705239034901	0	0.00011347687686234	7.22445970351146e-06	0	2.61085096672877e-06	0	0.76526336820646	0.713917039784137
L1-L6_spot_21	9.25143296870122e-06	0.000581528796008167	1.92752468805389e-05	0	0.000107385438852805	0.429080963654981	0	0.00179020752294267	0	0	0	2.58814598236746e-05	0.0322931877855858	0.00877050077119917	1.37700821148756e-05	1.02065687035218e-05	0	0.427960866034385	5.44401478940914e-06	0.0968443130686425	0.00248721812212142	0	0	0	0.758466463765786	0.713604263046988
L1-L6_spot_22	3.6154500016197e-05	0.000166608683857198	0	0.000115084768537619	0.00179230776876028	0.556946028682372	0	1.33403022222576e-06	0	0	0	3.27908883595801e-06	0	0.00107665704313457	0	0	0	0.430198834293899	0	0.00138720537528167	4.14045607844773e-05	0.00821891219663224	1.61890076663942e-05	0	0.856746408700647	0.656131419863158
L1-L6_spot_23	9.61649636718656e-06	7.75719721826257e-07	6.29473285696763e-06	0	0.000121016796724968	0.508889473703067	0.000107665783709581	4.43642993414405e-05	0	0	0	7.10729328985734e-07	0	0	4.69343401219116e-06	4.4136208704518e-06	1.69539054925131e-05	0.47298405020453	2.56281692528783e-06	0.00105517941445501	0	0.0167522283425968	0	0	0.894202968687075	0.619386799795125
L1-L6_spot_24	0	0.000106168432497711	0	0	1.35340328925651e-05	0.118026833149413	8.91203170497414e-05	8.80593853870448e-05	5.04433563429527e-05	0.000153996127302231	0.000292128756243753	0	9.50299737661419e-05	0.000132428400220302	7.71857980231294e-08	0	1.38087698984029e-05	0.880882573380996	2.03494344985205e-07	0	5.36025445304203e-05	0	1.99269331664388e-06	0	0.829953275687198	0.591429413266522
L1-L6_spot_25	5.94416859394538e-06	1.38653875779948e-05	8.0514820792676e-06	0	2.72666334262679e-05	0.61911992782154	1.78796072435422e-05	3.88373203811784e-05	0	1.6142251877726e-05	0.000148419512250532	3.94001032473508e-06	5.57816546511505e-07	1.71748232377439e-05	3.90596833857284e-06	9.18797847067852e-06	0	0.38054506919796	3.41759517648784e-06	2.04124249749629e-05	0	0	0	0	0.874767030439161	0.653126379869063
L1-L6_spot_26	1.53032288958906e-05	1.65480167668756e-05	4.25270707209405e-06	3.84731495705084e-05	0.000356432064941346	0.427871128788077	0	0	0	0.000154813108414806	1.84846041562247e-05	4.30884596800674e-07	0	0	0	3.94104621899871e-06	0	0.548699018118856	3.27141453690559e-06	0.000631034715314786	9.64792153460948e-05	0.0220865693947257	3.81954250989987e-06	0	0.896086812800248	0.599043174068811
L1-L6_spot_27	6.00629324618817e-06	3.74608024109843e-06	9.5023908918125e-06	0	0.000105729380465176	0	0	1.61105960736528e-05	0	0	8.12128392082614e-05	1.37970179295036e-05	0	0	8.33382886580189e-06	9.3687601501009e-06	0	0.999646196340326	1.10134118929278e-07	0	1.67679764641361e-06	9.82095408374922e-05	0	0	0.930530452326397	0.435050148056407
L1-L6_spot_28	8.73263859727103e-06	0.000234595228663611	0	0	2.47833564542125e-06	0.393876224129221	0.00176472485447794	0	0	0.000317150023159447	0	5.29613809938368e-06	2.36140093788462e-05	0.000995956091889286	7.35365151737429e-06	3.14507968659474e-06	0	0.601048012800685	2.42860916118706e-06	0.00166755483646481	9.54305162589196e-06	3.31905217264807e-05	0	0	0.856728892567247	0.623129775048944
L1-L6_spot_29	0	4.2730844159314e-05	1.21898630875112e-05	3.0528484288128e-06	7.93124480908025e-05	0.669886830176669	0	7.7471317215227e-05	0.000330570189557672	0.000142302934703999	0	0	8.78651834422031e-05	1.19252890537936e-05	8.24712180623366e-06	5.22631375983723e-06	0	0.328755750234487	0	0.000300248030536103	1.85152978074667e-05	0.000237761907194585	0	0	0.846984221901895	0.678193842076652
L1-L6_spot_30	1.70547879236929e-05	0.000171444449749253	5.95606018728615e-07	0.000483998506872407	0.000513339686742764	0.205837533372655	0	0.00380734222750077	0.000902364197101428	7.05482435880551e-05	0	1.08952747251616e-05	0	0	5.96975012380518e-06	6.07412338462056e-07	0	0.781308769510015	3.76728449043877e-06	0.00027794007038743	9.60417932359964e-05	0.00647408364415255	1.7704182379042e-05	0	0.88816545518609	0.549089640420383
L1-L6_spot_31	0	0.000221346287580857	9.21488268698613e-06	0	0	0.996031693497718	0	0.000508086783621868	9.86407332039454e-05	0.000569988970668792	1.05073059173097e-05	1.07459834288533e-05	0	0.000203109119120476	3.53729618590553e-06	7.19453410549386e-06	7.33378384702242e-05	0.00192276536691591	5.84462538113416e-06	0.000294327897752649	2.90383594804814e-05	0	6.20517760967276e-07	0	0.835990574004301	0.689215912139536
L1-L6_spot_32	0	4.91910410568437e-05	1.75847897787076e-07	4.23404727129659e-05	0	2.24088970937174e-05	0	0	0.000152403160664037	8.27983415086948e-05	0.000939919378777026	7.95486147272734e-06	1.56925929696712e-05	2.25605165653213e-05	1.05961260370898e-06	0	0	0.998535629425766	0	3.2573829922249e-05	9.52920209893488e-05	0	0	0	0.914493202080076	0.460211786414317
L1-L6_spot_33	1.57423600133739e-05	0	8.1880927616813e-06	0	0	0.522542446599912	0	0.00567458287297912	0	0	0	0	6.12527613405211e-05	0	1.58558895476635e-06	0	0	0.432096108678602	0	0	0.000236968506266566	0.0393631245391695	0	0	0.812996004207069	0.681799066218274
L1-L6_spot_34	0.000287363711670091	0.017596381398572	1.83118053543544e-05	0	0.000129605076183506	0.734606134296114	0	0	0	0.00493946969140048	0	0.00102406572770562	0	4.4127543078184e-05	2.01571395984465e-06	1.7401954313151e-05	0.00894682789365745	0.178232130434749	1.34581188787097e-06	0	0.000139175317879806	0.053997620093489	1.80235299854582e-05	0	0.817903337395317	0.707503064340368
L1-L6_spot_35	0	2.44872241128119e-05	0	0.000118539941905197	0.000465182936440282	0.422842365615725	6.55031040777084e-05	0.000781884232751293	0.000211466598673314	0.000125948491800194	0.000827980361166385	0	3.39849087558884e-06	0.000285401742225518	0	4.4434501179112e-06	0	0.5726732691878	0	0.00152077409778068	4.93545245480303e-05	0	0	0	0.836462301889399	0.645046340413958
L1-L6_spot_36	0	7.10102101784371e-06	1.78964383083146e-06	4.74799788786204e-06	1.02542780324999e-05	0.498425061849693	0	0.000112277718649027	0	0	0	1.16181358246891e-05	1.90416542564958e-05	1.62867682349389e-05	6.36194430335132e-06	4.11719940278998e-08	0	0.482947586971796	0	0	4.21029084341059e-06	0.0184217048724982	1.19156811378552e-05	0	0.845242703824106	0.653307055271727
L1-L6_spot_37	4.51578647255558e-05	2.08331008789252e-05	1.8425380760435e-05	0.00821906193380387	0	0.299468543893315	0.00961228065167138	0.000111152038298846	0	0.00014302061671635	0	4.004864530129e-05	0	0.0162355662436786	1.40404610801034e-05	0	0	0.554741640276008	6.81600687706212e-06	0.0465664867665073	0	0.0647351996865912	2.17264337857732e-05	0	0.828442433419088	0.638505587247065
L1-L6_spot_38	0	0	3.89807023360654e-06	3.92347873754439e-05	0	3.13611106869954e-05	0	9.97435944498268e-06	0	0	9.23598169171986e-05	0	4.27546692408409e-06	0	4.21042169155339e-06	0	0	0.9997552174947	0	0	1.30838365296915e-05	4.63846354966777e-05	0	0	0.916643340228201	0.456727637431575
L1-L6_spot_39	2.46471304967619e-05	3.4448547741386e-05	1.24635671831117e-06	0	0	0.51846819067706	0	0.000655852316362757	0	0.000566781428472838	0.00993865784445308	1.33947785581071e-05	0.000285119667056879	0	0	6.40062099250358e-06	7.81018851910217e-05	0.460029810149521	4.30723780761473e-06	0	1.61336791751546e-05	0.00987690768039244	0	0	0.842668380853014	0.660206376527486
L1-L6_spot_40	4.74131093234965e-06	0.000143903492114346	0	6.15878816565428e-06	0.000187068565985452	0.368445629929763	0.000958924920391972	0.000490222107909883	0	0	0.000487895106519225	0	0	0.000123253659748657	8.64829640062701e-06	7.35535498116752e-06	0	0.627056766081222	0	0	1.61508445306892e-05	0.00206121006305679	2.07147827788376e-06	0	0.84963085356535	0.623134659405213
L1-L6_spot_41	0	4.28219525685124e-05	7.88065570424506e-06	0.000133308728781007	0	0.000175950468894892	0	0	4.97006400953853e-05	6.65638121600488e-05	0.000219493091841722	1.22802382649635e-06	6.07914507694506e-05	5.21379475808054e-05	0	1.07624108775044e-05	0	0.999173870116623	4.87504988853206e-07	0	5.00319528801574e-06	0	0	0	0.869208407937519	0.524223966794787
L1-L6_spot_42	1.48305731110376e-05	3.45094448569123e-05	7.46966349279601e-06	0	5.86670695952551e-05	0.304061981969357	5.60284363139043e-05	0.00172070476821667	0.000135381994894339	0.000163417269602722	0.0152006720547	7.58436822409692e-06	4.91479367655851e-05	0.00160513234175246	5.708769093404e-06	1.38345159553185e-05	0	0.669921922974304	0	0.00682504858120339	0.000117957268561054	0	0	0	0.90868919437061	0.557514624170825
L1-L6_spot_43	0	0.000109783111775565	1.71776096631412e-06	4.622574247587e-05	0	0.000132680938202782	0.000147242529032257	7.91834948970866e-05	0	0	0	8.06981479605149e-06	0.000201574445725526	8.32404008200396e-05	2.25333281029702e-06	0	0	0.923127999981464	1.18070219523402e-06	0.0759732178119205	8.5629932918788e-05	0	0	0	0.85094174119702	0.551331389329935
L1-L6_spot_44	0	0	0	0	0	0.712506553665719	0	0	0.0161892162167027	0.0131109864610514	0.00702853127369334	0.00255710077607159	0	0	0.00104783591828036	0.000707019557293154	0	0.157449700279282	0.00149490149713564	0.0346117302377876	0	0.0515853635239025	0.0017110605930813	0	0.847756534135646	0.691736396496587
L1-L6_spot_45	8.2281620415298e-06	2.23213015379638e-05	7.13257752971922e-06	0	0	0.330636860881823	0	0	0	2.785094593223e-06	0	0	0	0.00014563238971089	4.15173113424884e-06	7.12719678626249e-06	2.19929124468254e-05	0.66908219841822	1.56504338110873e-06	4.60055238277388e-05	0	1.39987669678719e-05	0	0	0.901478239752111	0.567331164820985
L1-L6_spot_46	1.40603828349326e-05	8.33159926993555e-05	3.22053777300747e-06	2.46713415270762e-05	1.82481931974743e-05	0.395767590995822	3.58423658939944e-05	1.97047772194599e-05	6.70209858838691e-05	1.03250169301942e-05	0.000196561833710759	1.10951129864106e-05	5.0675164076476e-05	8.06728608821251e-05	7.6178610393988e-06	8.18403810916169e-06	0	0.603495523220002	7.85456767179238e-06	8.64391616379107e-05	1.05016583975814e-05	0	8.7393170476704e-07	0	0.853238479879487	0.625583311170748
L1-L6_spot_47	0	0.000275907813968953	6.53758725152915e-07	0.000241298242575794	0.000715724748386942	0.471034179970987	0	0.000102463171008441	0.00023485162968646	0	0	1.91791395960231e-06	3.76030546107812e-05	0	1.20641439694808e-06	0	0	0.413640990813464	0	0.0472275738201171	0.00206279179748709	0.0644049428291727	1.78940214520874e-05	0	0.899018022225107	0.613228309216819
L1-L6_spot_48	0.00105379834534546	0	0.00035418592797128	0.0139152704641314	0	0.455249574850099	0.00107988663085567	0.0475338687387396	0.00279377045327419	0	0	0.00115285819305952	0	0	0	7.61729863733062e-05	0	0.360043758567218	4.0863398888183e-07	0	0	0.116617536616692	0.00012890959225197	0	0.846406480039219	0.66080105421073
L1-L6_spot_49	6.27832121803049e-05	0.00152199374802729	2.34066041069808e-05	0	0	0.653833661849661	0.00207004216809994	0.00821163489331924	0	0.0179796235408673	0.0312159101784134	2.01495971390346e-05	0	2.59822853936231e-05	1.17607390581593e-05	3.13670568631102e-05	0	0.267668287206139	1.89013582160374e-06	0	0.00017901403216808	0.0171410881764618	1.40457627994177e-06	0	0.832884494411888	0.693765126079412
L1-L6_spot_50	3.12625840834616e-06	0	7.31429526246972e-06	0	4.09768566542974e-06	0.446195866514761	0	0.000823455502374867	0	0.000166074726006366	0	3.52977293992001e-06	0	0.0001609240549647	4.5092736705142e-06	0	0	0.455454283918493	3.02589942277286e-06	0.0624493946590651	3.92346998436996e-05	0.034673253268836	1.19094702853754e-05	0	0.893524282769233	0.611322707135956
L1-L6_spot_51	0	0	5.54712947519198e-06	3.90783359429228e-05	0.000159558244653497	0.410630740285945	3.24422061622609e-05	6.82298224343848e-05	5.28767629066213e-05	3.23392912591992e-05	0.00013994298433103	1.01026658625217e-05	2.06625586898104e-05	2.94625184257644e-05	7.41304161828984e-06	1.69704840125174e-06	0	0.588605925966547	3.62547470505713e-06	0	9.02840432216287e-06	0.000142547219134076	8.78003918461733e-06	0	0.908455949156822	0.582905065515916
L1-L6_spot_52	0	7.9296652283086e-06	0	3.54581511485895e-05	0.100539815282444	0.899242290317187	0	4.7325832965361e-05	7.86772496182701e-05	0	1.4337274588938e-05	1.37171443624509e-06	0	0	0	4.33562808110649e-06	0	1.05979865528739e-05	0	0	8.25793341791815e-06	9.60296433189036e-06	0	0	0.861149478123144	0.6746639810707
L1-L6_spot_53	3.87912798165483e-05	0.000768311657277119	1.70933374059497e-06	0.00101377899455839	0	0.00266933935363768	0.00117034741890027	0.00205995069696371	0	3.63880665914486e-05	0	1.13843992000784e-06	0.0010636947963954	0.000503800258777958	7.34547412373677e-06	5.60740785527459e-05	0	0.947943760345139	5.80445174042116e-06	0.00353899176745601	0.000284743739111381	0.0387337059837218	0.000102323863575661	0	0.806251242307134	0.60361797783465
L1-L6_spot_54	3.75454191974449e-05	3.78199084444973e-05	2.12462369937592e-05	0	0	0.207327464501313	0	0.00104978175184945	0.000184324500463288	0	0	1.74238099001826e-05	4.53177383383299e-05	0.00060126367510705	7.50098922983616e-06	0	0	0.759144286797902	4.39086426588642e-06	0.0179530900377713	0.00237069360942305	0.0111762689584399	2.15812013608263e-05	0	0.867613576924268	0.571992798722122
L1-L6_spot_55	9.83497969555579e-06	2.15004825669953e-05	2.17748278394542e-06	4.87699634574787e-05	9.28242120248951e-05	0.272270062794348	6.14057533951679e-05	0.000197967104269829	1.71490547434217e-05	0	0	1.16001748460287e-06	6.39147305845674e-06	9.23288688215674e-05	1.18012218394814e-05	3.16149659734039e-06	0	0.691641110867429	1.06870980199168e-06	8.57916448393503e-06	2.90639372429274e-05	0.0354806974498304	2.94496612504606e-06	0	0.918014157752447	0.535855220622987
L1-L6_spot_56	6.84947650373771e-06	0	1.85978252659115e-05	0	0.000109517792813655	0	0	0	0.000144354733421377	0	0.0477265792410996	6.3129484138014e-06	4.28067572186194e-05	0.000119167958804024	4.54328649088877e-06	1.10266032985557e-05	0.000312390216580648	0.95149692258992	9.30570169087166e-07	0	0	0	0	0	0.899855740713701	0.488018592580649
L1-L6_spot_57	4.6224986216739e-06	5.69177264268109e-05	8.15167677919327e-06	0	0	0.446379745199273	8.5070579035451e-05	0.000521607908041435	0	0.000108811703829425	0	0	0	0.000250784479339539	4.1661956072136e-06	0	0	0.543335466793704	3.81162932037388e-06	0.00567626219441556	2.88458161574909e-05	0.00352520882369158	1.0526775757002e-05	0	0.892014022999636	0.606536229607316
L1-L6_spot_58	1.1357372906105e-05	5.24510984313955e-05	0	0.000329371564819834	0.00025487506278489	0.448504761987319	4.11359409885746e-05	0.000208810714134456	0.00177136543537174	0.000163431470006324	0.000282294738686148	5.19917780875013e-06	0.000157998072641257	0.00294823385521267	0	0	0	0.545178605771157	0	5.77921478959622e-05	2.07327764744064e-05	0	1.15828133610902e-05	0	0.829462079692151	0.655907694543568
L1-L6_spot_59	0	3.88661926272409e-05	1.67093936624464e-05	4.92156536008893e-05	0.000156168290693825	0.0671581214731727	0.00040816022694219	0.0011720557746464	0.00212396514694309	0.000214941417824793	0	1.03056186606707e-05	6.18401936181186e-05	0.000854724682161089	0	0	0	0.912806172753448	0	0.0147367918303744	0.000160880331964282	0	3.10810196603216e-05	0	0.897588699251487	0.503019994213703
L1-L6_spot_60	0.000648698638369556	0	1.66692297338563e-05	0.00240917053470297	5.73823228190008e-05	0.627136660445759	0.00111508686661772	0.00596531628498164	0	0	0.0145559443282294	2.69618062382348e-05	0.000600940858819666	0	3.90818817678605e-06	2.85085635299485e-05	2.91762108467047e-05	0.342453860966302	1.19070944064689e-06	0	0	0.00493327829082491	1.72457546074287e-05	0	0.859166216405572	0.668895935236775
L1-L6_spot_61	0	7.53063603431719e-05	1.20327990924624e-05	0	0	0.00120376183333158	0	0.000232237800815427	0	0.000121993249063912	0	1.41879476573241e-05	0	0.000215347982224277	2.50727245290946e-07	1.29364231100971e-05	0	0.791817065048386	1.0050141632813e-06	3.98474614730201e-05	0	0.206254027353094	0	0	0.885194279629123	0.50499598505228
L1-L6_spot_62	1.19423052347137e-06	0.000160236746995569	1.05828830405706e-05	0	0	0.40107968421018	0.000446696533282551	0.000366591049041052	0	0	0.000273163081450428	1.89404069521512e-06	0	0.000217299217534995	8.05368585041928e-06	5.73238301752406e-06	0	0.59554410318276	6.09634571706562e-06	0.00173498496017707	2.03296222889926e-05	0.000123357827444658	0	0	0.886903387477904	0.599257975270051
L1-L6_spot_63	1.48808175687342e-05	0.000239706824230669	2.70604004631914e-05	0.000318498994693781	0	0.0414983606506244	0.00275552160744715	0.000668371990933209	0	0.00103132379864019	0	1.81269494097731e-05	0	0.00485672587314713	9.17545029658496e-06	0	0	0.776641112677705	7.07753673156744e-06	0.0946547687343609	4.76527820397377e-05	0.0771882804427218	2.33544689858424e-05	0	0.83409660016139	0.581575691923615
L1-L6_spot_64	3.85501605641671e-05	0.000164643766840278	7.49524902009112e-06	7.54712261035318e-05	0.0044528488945665	0.465427282663545	0.000154963956147884	0.00171011378501263	1.28967835243022e-05	0	0	6.13509438155797e-06	0	0.00049652875543517	5.1196915575118e-06	6.13052242618716e-06	0	0.473596621194432	3.90304914537536e-06	0.00435916211202983	0	0.049482133095268	0	0	0.858075509770243	0.640276148707493
L1-L6_spot_65	1.56635153759451e-05	0	4.15882664073476e-06	3.15717675349283e-06	7.66770607406453e-06	0.388596423030352	0	6.24370080767632e-05	3.07840305596889e-05	2.47211393202509e-05	0.0540005310417065	1.11763382346626e-05	3.7816974223885e-05	0.000130954036981265	1.01512639211138e-05	0	5.64376895696967e-05	0.556980457651027	2.52385532117803e-06	0	1.00895439507912e-05	0	1.48491719111294e-05	0	0.875818337278776	0.61389076909155
L1-L6_spot_66	2.98503647581637e-05	0	0	3.82401117375382e-05	0	0.125594420199449	0	0.00228353211584663	0.00216131952144365	0.00101352519910482	0	6.48627478928169e-06	0	0	0	0	0	0.639650275888232	1.49984618411706e-06	0	0	0.229179649624838	4.12008536170461e-05	0	0.910969636958231	0.502642144107259
L1-L6_spot_67	5.00052340480506e-05	0	2.08006604451233e-05	0	0.000599546167064453	0.0952029650206611	0	0.00820257995025498	0.0527495504674044	0.00150746240381027	0.095453439528925	0.000124925295888281	0.000328613185900021	0.000227005274339451	3.33157253100599e-05	6.00732699809598e-05	0	0.710598190387073	1.0315700583584e-05	0.0332183375505775	0.00157545707986404	0	3.74170978695249e-05	0	0.783667108439378	0.653477831458725
L1-L6_spot_68	2.94594300091651e-05	0.00011166038418625	6.50931429924596e-06	0.000292299072240293	0.000303419427410659	0.372734329708208	1.1016157379514e-05	0.000200578378713959	2.32512435742366e-05	2.40526331396705e-05	0	2.54253290139859e-06	6.88364403249697e-05	0	5.89635678658593e-06	4.73882588092169e-06	5.69419411024976e-05	0.543802899137184	0	0.000219052452730691	1.40763704503635e-05	0.0820881011841639	3.39009314339035e-07	0	0.889727047170517	0.592392399304426
L1-L6_spot_69	0	8.76820562826046e-06	4.70383242441213e-07	0.000310242389099273	0.000141873992459784	0.523577445984339	0	0	0.00174026228058252	0	1.57794581607079e-05	2.90490515519095e-06	0.000116715399816402	0	5.84060321476451e-06	2.82270588416446e-06	0	0.474016610137645	2.26177192102318e-06	2.53301754575911e-05	2.93066460360734e-05	0	3.36496135729169e-06	0	0.875415152567066	0.635923260446393
